hour,N,MAE,RMSE,Bias,MAPE,std
0,428,630.3331,930.8898,-116.4262,1.0150,923.5804
1,428,613.7665,900.8773,-112.4229,1.0168,893.8350
2,428,558.8660,835.9361,-50.2173,0.9454,834.4263
3,428,569.9933,855.1208,-113.3400,0.9774,847.5763
4,428,565.8487,862.0673,-101.4872,0.9612,856.0727
5,428,620.7183,909.4454,-127.5131,1.0156,900.4617
6,428,857.5967,1153.3997,-212.9404,1.3691,1133.5728
7,428,1577.0951,2111.5776,-255.9947,2.5178,2096.0026
8,428,2322.8178,2989.6895,-302.9133,3.7443,2974.3044
9,428,2810.0012,3587.9219,-343.3169,4.8733,3571.4587
10,428,2839.0284,3763.4141,-320.4450,4.9830,3749.7468
11,428,2934.6676,3913.5703,-1138.5790,5.2844,3744.2851
12,428,2758.2427,3737.5851,-158.2082,5.3951,3734.2352
13,428,2812.0988,3748.4490,181.3928,5.1783,3744.0575
14,428,2539.8005,3429.0645,976.8923,4.4781,3286.9689
15,428,2165.0460,2892.2152,555.4699,3.5836,2838.3731
16,428,1576.7155,2108.2412,368.9256,2.3916,2075.7107
17,428,1099.1040,1488.6471,305.7327,1.5801,1456.9137
18,428,810.0000,1145.5978,209.2221,1.1232,1126.3305
19,428,752.6796,1075.0602,112.7887,1.0348,1069.1273
20,428,781.2394,1109.8310,125.3134,1.0842,1102.7336
21,428,807.6932,1139.8546,260.4080,1.1618,1109.7099
22,428,895.6520,1202.7912,-24.0347,1.3276,1202.5510
23,428,795.9131,1068.9578,-135.4524,1.2346,1060.3412
