slot,N,MAE,RMSE,Bias,MAPE,std
0,107,659.4419,956.2649,-115.2351,1.0494,949.2963
1,107,635.4632,934.2357,-124.1968,1.0192,925.9436
2,107,611.6055,916.1070,-114.3523,0.9888,908.9420
3,107,614.8218,916.3690,-111.9206,1.0025,909.5087
4,107,627.3861,935.6314,-100.1453,1.0294,930.2565
5,107,600.4825,899.3453,-117.2185,0.9922,891.6736
6,107,632.9606,903.1180,-120.3512,1.0524,895.0630
7,107,594.2367,863.9846,-111.9767,0.9934,856.6975
8,107,568.0336,848.2415,-35.1075,0.9547,847.5147
9,107,559.1860,848.6214,-34.7676,0.9427,847.9089
10,107,535.4521,812.0552,-50.0999,0.9083,810.5083
11,107,572.7922,834.2966,-80.8941,0.9761,830.3655
12,107,559.0503,828.5781,-94.4760,0.9553,823.1744
13,107,570.5281,858.0803,-111.0595,0.9783,850.8628
14,107,555.5728,840.5381,-118.7247,0.9543,832.1110
15,107,594.8221,891.9521,-129.0997,1.0217,882.5598
16,107,542.1301,824.2131,-108.2568,0.9258,817.0726
17,107,562.2103,883.0804,-85.8333,0.9584,878.8992
18,107,560.8062,854.2056,-98.4452,0.9530,848.5139
19,107,598.2482,885.3332,-113.4134,1.0077,878.0389
20,107,578.3292,867.9719,-69.7360,0.9597,865.1659
21,107,625.3141,923.1631,-94.8695,1.0309,918.2755
22,107,623.7163,915.4148,-136.5974,1.0184,905.1660
23,107,655.5136,929.9321,-208.8496,1.0534,906.1764
24,107,740.0697,984.6140,-145.7264,1.1743,973.7703
25,107,785.2132,1044.1433,-189.0791,1.2421,1026.8809
26,107,861.0319,1163.7510,-210.7822,1.3753,1144.5030
27,107,1044.0719,1381.0530,-306.1740,1.6845,1346.6866
28,107,1308.1134,1764.0221,-337.4609,2.0885,1731.4427
29,107,1476.6020,1982.5985,-373.4181,2.3658,1947.1147
30,107,1671.9602,2209.9930,-169.0074,2.6785,2203.5212
31,107,1851.7047,2430.7408,-144.0923,2.9383,2426.4662
32,107,2124.3714,2754.5262,-216.1571,3.3502,2746.0318
33,107,2226.6374,2895.7649,-197.3402,3.5544,2889.0329
34,107,2405.3831,3086.5997,-374.5283,3.8899,3063.7927
35,107,2534.8793,3202.0318,-423.6277,4.1830,3173.8852
36,107,2708.7607,3422.7328,-307.8831,4.5641,3408.8573
37,107,2803.7255,3544.9156,-314.8037,4.8273,3530.9100
38,107,2894.2949,3682.2468,-326.7149,5.0754,3667.7239
39,107,2833.2238,3694.8972,-423.8657,5.0263,3670.5045
40,107,2768.3364,3640.4340,-310.9927,4.8029,3627.1260
41,107,2817.8642,3738.7984,-348.8475,4.9157,3722.4883
42,107,2856.6095,3804.4301,-290.1464,5.0454,3793.3499
43,107,2913.3034,3866.2749,-331.7935,5.1679,3852.0118
44,107,2957.2944,3920.0215,-1419.5463,5.0575,3653.9646
45,107,2894.0962,3878.3575,-1215.7184,5.1027,3682.8910
46,107,2965.6840,3955.3241,-1071.5030,5.3915,3807.4230
47,107,2921.5958,3900.1688,-847.5485,5.5860,3806.9645
48,107,2721.4868,3721.0420,-288.3008,5.3252,3709.8567
49,107,2764.4497,3750.7105,-203.5186,5.4541,3745.1848
50,107,2782.2796,3726.7995,-69.9641,5.4420,3726.1427
51,107,2764.7546,3751.6867,-71.0493,5.3593,3751.0139
52,107,2880.7666,3834.8290,-8.9479,5.4336,3834.8185
53,107,2845.1806,3786.7436,47.8222,5.2785,3786.4416
54,107,2762.3331,3715.0652,209.5156,5.0083,3709.1526
55,107,2760.1148,3654.6449,477.1814,4.9928,3623.3586
56,107,2586.0704,3532.7554,712.2683,4.6403,3460.2073
57,107,2563.8996,3454.2870,863.1827,4.5376,3344.6995
58,107,2561.5902,3401.8928,1088.4989,4.4821,3223.0490
59,107,2447.6418,3323.9432,1243.6191,4.2525,3082.5330
60,107,2391.4539,3185.2114,558.0092,4.0739,3135.9524
61,107,2264.5124,2988.5331,516.3226,3.7771,2943.5932
62,107,2038.4358,2748.9530,539.8583,3.3288,2695.4213
63,107,1965.7819,2612.6598,607.6896,3.1547,2541.0046
64,107,1809.9857,2380.6327,374.0391,2.8272,2351.0650
65,107,1627.0599,2178.3706,376.5111,2.4806,2145.5857
66,107,1491.6593,1998.0631,353.4196,2.2217,1966.5581
67,107,1378.1572,1836.7791,371.7327,2.0369,1798.7697
68,107,1228.2538,1629.5241,222.7759,1.8000,1614.2241
69,107,1119.9007,1496.8430,181.2030,1.6150,1485.8346
70,107,971.8193,1329.4802,181.4299,1.3822,1317.0424
71,107,1076.4423,1483.5347,637.5220,1.5231,1339.5675
72,107,874.9197,1208.9333,314.7762,1.2255,1167.2342
73,107,768.2965,1099.0345,229.8369,1.0675,1074.7334
74,107,804.6755,1150.3372,167.6226,1.1114,1138.0591
75,107,792.1084,1121.1176,124.6527,1.0885,1114.1663
76,107,775.0745,1095.8823,124.2007,1.0645,1088.8215
77,107,747.4093,1092.6795,159.0025,1.0259,1081.0489
78,107,742.6572,1052.7250,114.3156,1.0210,1046.4998
79,107,745.5772,1058.2444,53.6360,1.0277,1056.8843
80,107,762.9579,1068.5908,119.7511,1.0509,1061.8597
81,107,808.6032,1135.5669,137.3931,1.1177,1127.2246
82,107,765.6610,1123.3027,134.1148,1.0645,1115.2678
83,107,787.7355,1110.7169,109.9947,1.1038,1105.2571
84,107,795.0400,1125.4014,290.5392,1.1253,1087.2512
85,107,803.2785,1129.9947,259.9398,1.1469,1099.6905
86,107,814.3112,1152.1254,285.8276,1.1775,1116.1073
87,107,818.1429,1151.6357,205.3256,1.1974,1133.1840
88,107,926.4011,1228.8434,6.1013,1.3416,1228.8283
89,107,896.7707,1204.8587,-18.1412,1.3152,1204.7221
90,107,889.9721,1211.4682,-19.8675,1.3297,1211.3053
91,107,869.4641,1165.0882,-64.2315,1.3239,1163.3163
92,107,831.0153,1110.5115,-126.0243,1.2617,1103.3375
93,107,808.9012,1077.7133,-150.3193,1.2468,1067.1786
94,107,772.3138,1038.2333,-123.2459,1.2068,1030.8923
95,107,771.4222,1047.8804,-142.2200,1.2231,1038.1844
