act_decile,N,MAE,RMSE,Bias,MAPE,std
P0-10,1028,2455.7310,3219.6486,340.6283,5.3555,3201.5793
P10-20,1027,1982.7893,2915.5954,367.3400,3.7202,2892.3620
P20-30,1027,1328.5910,2159.4912,105.7247,2.3169,2156.9016
P30-40,1027,954.4005,1586.9399,-156.6421,1.6087,1579.1901
P40-50,1027,1016.1108,1716.1439,-96.2547,1.6687,1713.4424
P50-60,1027,1090.6930,1720.7929,9.8196,1.7349,1720.7649
P60-70,1027,1261.0637,1863.7382,-21.9316,1.9198,1863.6091
P70-80,1027,1263.5333,1983.7845,352.1558,1.8380,1952.2774
P80-90,1027,1089.7907,1834.5274,-6.1400,1.5229,1834.5171
P90-100,1028,2011.9774,2998.6059,-1067.8366,2.5932,2802.0282
