slot,N,MAE,Bias,std
0,107,659.4419,-115.2351,949.2963
1,107,635.4632,-124.1968,925.9436
2,107,611.6055,-114.3523,908.9420
3,107,614.8218,-111.9206,909.5087
4,107,627.3861,-100.1453,930.2565
5,107,600.4825,-117.2185,891.6736
6,107,632.9606,-120.3512,895.0630
7,107,594.2367,-111.9767,856.6975
8,107,568.0336,-35.1075,847.5147
9,107,559.1860,-34.7676,847.9089
10,107,535.4521,-50.0999,810.5083
11,107,572.7922,-80.8941,830.3655
12,107,559.0503,-94.4760,823.1744
13,107,570.5281,-111.0595,850.8628
14,107,555.5728,-118.7247,832.1110
15,107,594.8221,-129.0997,882.5598
16,107,542.1301,-108.2568,817.0726
17,107,562.2103,-85.8333,878.8992
18,107,560.8062,-98.4452,848.5139
19,107,598.2482,-113.4134,878.0389
20,107,578.3292,-69.7360,865.1659
21,107,625.3141,-94.8695,918.2755
22,107,623.7163,-136.5974,905.1660
23,107,655.5136,-208.8496,906.1764
24,107,740.0697,-145.7264,973.7703
25,107,785.2132,-189.0791,1026.8809
26,107,861.0319,-210.7822,1144.5030
27,107,1044.0719,-306.1740,1346.6866
28,107,1308.1134,-337.4609,1731.4427
29,107,1476.6020,-373.4181,1947.1147
30,107,1671.9602,-169.0074,2203.5212
31,107,1851.7047,-144.0923,2426.4662
32,107,2124.3714,-216.1571,2746.0318
33,107,2226.6374,-197.3402,2889.0329
34,107,2405.3831,-374.5283,3063.7927
35,107,2534.8793,-423.6277,3173.8852
36,107,2708.7607,-307.8831,3408.8573
37,107,2803.7255,-314.8037,3530.9100
38,107,2894.2949,-326.7149,3667.7239
39,107,2833.2238,-423.8657,3670.5045
40,107,2768.3364,-310.9927,3627.1260
41,107,2817.8642,-348.8475,3722.4883
42,107,2856.6095,-290.1464,3793.3499
43,107,2913.3034,-331.7935,3852.0118
44,107,2957.2944,-1419.5463,3653.9646
45,107,2894.0962,-1215.7184,3682.8910
46,107,2965.6840,-1071.5030,3807.4230
47,107,2921.5958,-847.5485,3806.9645
48,107,2721.4868,-288.3008,3709.8567
49,107,2764.4497,-203.5186,3745.1848
50,107,2782.2796,-69.9641,3726.1427
51,107,2764.7546,-71.0493,3751.0139
52,107,2880.7666,-8.9479,3834.8185
53,107,2845.1806,47.8222,3786.4416
54,107,2762.3331,209.5156,3709.1526
55,107,2760.1148,477.1814,3623.3586
56,107,2586.0704,712.2683,3460.2073
57,107,2563.8996,863.1827,3344.6995
58,107,2561.5902,1088.4989,3223.0490
59,107,2447.6418,1243.6191,3082.5330
60,107,2391.4539,558.0092,3135.9524
61,107,2264.5124,516.3226,2943.5932
62,107,2038.4358,539.8583,2695.4213
63,107,1965.7819,607.6896,2541.0046
64,107,1809.9857,374.0391,2351.0650
65,107,1627.0599,376.5111,2145.5857
66,107,1491.6593,353.4196,1966.5581
67,107,1378.1572,371.7327,1798.7697
68,107,1228.2538,222.7759,1614.2241
69,107,1119.9007,181.2030,1485.8346
70,107,971.8193,181.4299,1317.0424
71,107,1076.4423,637.5220,1339.5675
72,107,874.9197,314.7762,1167.2342
73,107,768.2965,229.8369,1074.7334
74,107,804.6755,167.6226,1138.0591
75,107,792.1084,124.6527,1114.1663
76,107,775.0745,124.2007,1088.8215
77,107,747.4093,159.0025,1081.0489
78,107,742.6572,114.3156,1046.4998
79,107,745.5772,53.6360,1056.8843
80,107,762.9579,119.7511,1061.8597
81,107,808.6032,137.3931,1127.2246
82,107,765.6610,134.1148,1115.2678
83,107,787.7355,109.9947,1105.2571
84,107,795.0400,290.5392,1087.2512
85,107,803.2785,259.9398,1099.6905
86,107,814.3112,285.8276,1116.1073
87,107,818.1429,205.3256,1133.1840
88,107,926.4011,6.1013,1228.8283
89,107,896.7707,-18.1412,1204.7221
90,107,889.9721,-19.8675,1211.3053
91,107,869.4641,-64.2315,1163.3163
92,107,831.0153,-126.0243,1103.3375
93,107,808.9012,-150.3193,1067.1786
94,107,772.3138,-123.2459,1030.8923
95,107,771.4222,-142.2200,1038.1844
